"variable","population_size","weight_method","degree_method","estimate","visibility","degree_avg"
"document_withholding","50000","SS_980k","basic",11341.4425218434,0.690781098416481,3.04538464611555
"document_withholding","50000","SS_980k","mean",11341.4425218434,0.690781098416481,3.04538464611555
"document_withholding","50000","SS_980k","median",11341.4425218434,0.690781098416481,3.04538464611555
"document_withholding","50000","SS_100k","basic",11341.4425218434,0.690781098416481,3.04538464611556
"document_withholding","50000","SS_100k","mean",11341.4425218434,0.690781098416481,3.04538464611556
"document_withholding","50000","SS_100k","median",11341.4425218434,0.690781098416481,3.04538464611556
"document_withholding","50000","SS_050k","basic",11341.4425218434,0.690781098416481,3.04538464611556
"document_withholding","50000","SS_050k","mean",11341.4425218434,0.690781098416481,3.04538464611556
"document_withholding","50000","SS_050k","median",11341.4425218434,0.690781098416481,3.04538464611556
"document_withholding","50000","vh_980k","basic",11341.4425218434,0.690781098416481,3.04538464611555
"document_withholding","50000","vh_980k","mean",11341.4425218434,0.690781098416481,3.04538464611555
"document_withholding","50000","vh_980k","median",11341.4425218434,0.690781098416481,3.04538464611555
"document_withholding","50000","vh_100k","basic",11341.4425218434,0.690781098416481,3.04538464611555
"document_withholding","50000","vh_100k","mean",11341.4425218434,0.690781098416481,3.04538464611555
"document_withholding","50000","vh_100k","median",11341.4425218434,0.690781098416481,3.04538464611555
"document_withholding","50000","RDS1_document_withholding","basic",7835.38543705237,1.32421153794823,8.45020036720994
"document_withholding","50000","RDS1_document_withholding","mean",7835.38543705237,1.32421153794823,8.45020036720994
"document_withholding","50000","RDS1_document_withholding","median",7835.38543705237,1.32421153794823,8.45020036720994
"document_withholding","1e+05","SS_980k","basic",22682.8850436869,0.690781098416481,3.04538464611555
"document_withholding","1e+05","SS_980k","mean",22682.8850436869,0.690781098416481,3.04538464611555
"document_withholding","1e+05","SS_980k","median",22682.8850436869,0.690781098416481,3.04538464611555
"document_withholding","1e+05","SS_100k","basic",22682.8850436868,0.690781098416481,3.04538464611556
"document_withholding","1e+05","SS_100k","mean",22682.8850436868,0.690781098416481,3.04538464611556
"document_withholding","1e+05","SS_100k","median",22682.8850436868,0.690781098416481,3.04538464611556
"document_withholding","1e+05","SS_050k","basic",22682.8850436868,0.690781098416481,3.04538464611556
"document_withholding","1e+05","SS_050k","mean",22682.8850436868,0.690781098416481,3.04538464611556
"document_withholding","1e+05","SS_050k","median",22682.8850436868,0.690781098416481,3.04538464611556
"document_withholding","1e+05","vh_980k","basic",22682.8850436869,0.690781098416481,3.04538464611555
"document_withholding","1e+05","vh_980k","mean",22682.8850436869,0.690781098416481,3.04538464611555
"document_withholding","1e+05","vh_980k","median",22682.8850436869,0.690781098416481,3.04538464611555
"document_withholding","1e+05","vh_100k","basic",22682.8850436869,0.690781098416481,3.04538464611555
"document_withholding","1e+05","vh_100k","mean",22682.8850436869,0.690781098416481,3.04538464611555
"document_withholding","1e+05","vh_100k","median",22682.8850436869,0.690781098416481,3.04538464611555
"document_withholding","1e+05","RDS1_document_withholding","basic",15670.7708741047,1.32421153794823,8.45020036720994
"document_withholding","1e+05","RDS1_document_withholding","mean",15670.7708741047,1.32421153794823,8.45020036720994
"document_withholding","1e+05","RDS1_document_withholding","median",15670.7708741047,1.32421153794823,8.45020036720994
"document_withholding","980000","SS_980k","basic",222292.273428131,0.690781098416481,3.04538464611555
"document_withholding","980000","SS_980k","mean",222292.273428131,0.690781098416481,3.04538464611555
"document_withholding","980000","SS_980k","median",222292.273428131,0.690781098416481,3.04538464611555
"document_withholding","980000","SS_100k","basic",222292.273428131,0.690781098416481,3.04538464611556
"document_withholding","980000","SS_100k","mean",222292.273428131,0.690781098416481,3.04538464611556
"document_withholding","980000","SS_100k","median",222292.273428131,0.690781098416481,3.04538464611556
"document_withholding","980000","SS_050k","basic",222292.273428131,0.690781098416481,3.04538464611556
"document_withholding","980000","SS_050k","mean",222292.273428131,0.690781098416481,3.04538464611556
"document_withholding","980000","SS_050k","median",222292.273428131,0.690781098416481,3.04538464611556
"document_withholding","980000","vh_980k","basic",222292.273428131,0.690781098416481,3.04538464611555
"document_withholding","980000","vh_980k","mean",222292.273428131,0.690781098416481,3.04538464611555
"document_withholding","980000","vh_980k","median",222292.273428131,0.690781098416481,3.04538464611555
"document_withholding","980000","vh_100k","basic",222292.273428131,0.690781098416481,3.04538464611555
"document_withholding","980000","vh_100k","mean",222292.273428131,0.690781098416481,3.04538464611555
"document_withholding","980000","vh_100k","median",222292.273428131,0.690781098416481,3.04538464611555
"document_withholding","980000","RDS1_document_withholding","basic",153573.554566226,1.32421153794823,8.45020036720994
"document_withholding","980000","RDS1_document_withholding","mean",153573.554566226,1.32421153794823,8.45020036720994
"document_withholding","980000","RDS1_document_withholding","median",153573.554566226,1.32421153794823,8.45020036720994
"document_withholding","1740000","SS_980k","basic",394682.199760151,0.690781098416481,3.04538464611555
"document_withholding","1740000","SS_980k","mean",394682.199760151,0.690781098416481,3.04538464611555
"document_withholding","1740000","SS_980k","median",394682.199760151,0.690781098416481,3.04538464611555
"document_withholding","1740000","SS_100k","basic",394682.199760151,0.690781098416481,3.04538464611556
"document_withholding","1740000","SS_100k","mean",394682.199760151,0.690781098416481,3.04538464611556
"document_withholding","1740000","SS_100k","median",394682.199760151,0.690781098416481,3.04538464611556
"document_withholding","1740000","SS_050k","basic",394682.199760151,0.690781098416481,3.04538464611556
"document_withholding","1740000","SS_050k","mean",394682.199760151,0.690781098416481,3.04538464611556
"document_withholding","1740000","SS_050k","median",394682.199760151,0.690781098416481,3.04538464611556
"document_withholding","1740000","vh_980k","basic",394682.199760151,0.690781098416481,3.04538464611555
"document_withholding","1740000","vh_980k","mean",394682.199760151,0.690781098416481,3.04538464611555
"document_withholding","1740000","vh_980k","median",394682.199760151,0.690781098416481,3.04538464611555
"document_withholding","1740000","vh_100k","basic",394682.199760151,0.690781098416481,3.04538464611555
"document_withholding","1740000","vh_100k","mean",394682.199760151,0.690781098416481,3.04538464611555
"document_withholding","1740000","vh_100k","median",394682.199760151,0.690781098416481,3.04538464611555
"document_withholding","1740000","RDS1_document_withholding","basic",272671.413209422,1.32421153794823,8.45020036720994
"document_withholding","1740000","RDS1_document_withholding","mean",272671.413209422,1.32421153794823,8.45020036720994
"document_withholding","1740000","RDS1_document_withholding","median",272671.413209422,1.32421153794823,8.45020036720994
"pay_issues","50000","SS_980k","basic",13351.7511441788,0.813224358664757,3.04538464611555
"pay_issues","50000","SS_980k","mean",13351.7511441788,0.813224358664757,3.04538464611555
"pay_issues","50000","SS_980k","median",13351.7511441788,0.813224358664757,3.04538464611555
"pay_issues","50000","SS_100k","basic",13351.7511441788,0.813224358664757,3.04538464611556
"pay_issues","50000","SS_100k","mean",13351.7511441788,0.813224358664757,3.04538464611556
"pay_issues","50000","SS_100k","median",13351.7511441788,0.813224358664757,3.04538464611556
"pay_issues","50000","SS_050k","basic",13351.7511441788,0.813224358664757,3.04538464611556
"pay_issues","50000","SS_050k","mean",13351.7511441788,0.813224358664757,3.04538464611556
"pay_issues","50000","SS_050k","median",13351.7511441788,0.813224358664757,3.04538464611556
"pay_issues","50000","vh_980k","basic",13351.7511441788,0.813224358664757,3.04538464611555
"pay_issues","50000","vh_980k","mean",13351.7511441788,0.813224358664757,3.04538464611555
"pay_issues","50000","vh_980k","median",13351.7511441788,0.813224358664757,3.04538464611555
"pay_issues","50000","vh_100k","basic",13351.7511441788,0.813224358664756,3.04538464611555
"pay_issues","50000","vh_100k","mean",13351.7511441788,0.813224358664756,3.04538464611555
"pay_issues","50000","vh_100k","median",13351.7511441788,0.813224358664756,3.04538464611555
"pay_issues","50000","RDS1_document_withholding","basic",9736.1647467856,1.64545085837008,8.45020036720994
"pay_issues","50000","RDS1_document_withholding","mean",9736.1647467856,1.64545085837008,8.45020036720994
"pay_issues","50000","RDS1_document_withholding","median",9736.1647467856,1.64545085837008,8.45020036720994
"pay_issues","1e+05","SS_980k","basic",26703.5022883576,0.813224358664757,3.04538464611555
"pay_issues","1e+05","SS_980k","mean",26703.5022883576,0.813224358664757,3.04538464611555
"pay_issues","1e+05","SS_980k","median",26703.5022883576,0.813224358664757,3.04538464611555
"pay_issues","1e+05","SS_100k","basic",26703.5022883575,0.813224358664757,3.04538464611556
"pay_issues","1e+05","SS_100k","mean",26703.5022883575,0.813224358664757,3.04538464611556
"pay_issues","1e+05","SS_100k","median",26703.5022883575,0.813224358664757,3.04538464611556
"pay_issues","1e+05","SS_050k","basic",26703.5022883575,0.813224358664757,3.04538464611556
"pay_issues","1e+05","SS_050k","mean",26703.5022883575,0.813224358664757,3.04538464611556
"pay_issues","1e+05","SS_050k","median",26703.5022883575,0.813224358664757,3.04538464611556
"pay_issues","1e+05","vh_980k","basic",26703.5022883576,0.813224358664757,3.04538464611555
"pay_issues","1e+05","vh_980k","mean",26703.5022883576,0.813224358664757,3.04538464611555
"pay_issues","1e+05","vh_980k","median",26703.5022883576,0.813224358664757,3.04538464611555
"pay_issues","1e+05","vh_100k","basic",26703.5022883575,0.813224358664756,3.04538464611555
"pay_issues","1e+05","vh_100k","mean",26703.5022883575,0.813224358664756,3.04538464611555
"pay_issues","1e+05","vh_100k","median",26703.5022883575,0.813224358664756,3.04538464611555
"pay_issues","1e+05","RDS1_document_withholding","basic",19472.3294935712,1.64545085837008,8.45020036720994
"pay_issues","1e+05","RDS1_document_withholding","mean",19472.3294935712,1.64545085837008,8.45020036720994
"pay_issues","1e+05","RDS1_document_withholding","median",19472.3294935712,1.64545085837008,8.45020036720994
"pay_issues","980000","SS_980k","basic",261694.322425904,0.813224358664757,3.04538464611555
"pay_issues","980000","SS_980k","mean",261694.322425904,0.813224358664757,3.04538464611555
"pay_issues","980000","SS_980k","median",261694.322425904,0.813224358664757,3.04538464611555
"pay_issues","980000","SS_100k","basic",261694.322425904,0.813224358664757,3.04538464611556
"pay_issues","980000","SS_100k","mean",261694.322425904,0.813224358664757,3.04538464611556
"pay_issues","980000","SS_100k","median",261694.322425904,0.813224358664757,3.04538464611556
"pay_issues","980000","SS_050k","basic",261694.322425904,0.813224358664757,3.04538464611556
"pay_issues","980000","SS_050k","mean",261694.322425904,0.813224358664757,3.04538464611556
"pay_issues","980000","SS_050k","median",261694.322425904,0.813224358664757,3.04538464611556
"pay_issues","980000","vh_980k","basic",261694.322425904,0.813224358664757,3.04538464611555
"pay_issues","980000","vh_980k","mean",261694.322425904,0.813224358664757,3.04538464611555
"pay_issues","980000","vh_980k","median",261694.322425904,0.813224358664757,3.04538464611555
"pay_issues","980000","vh_100k","basic",261694.322425904,0.813224358664756,3.04538464611555
"pay_issues","980000","vh_100k","mean",261694.322425904,0.813224358664756,3.04538464611555
"pay_issues","980000","vh_100k","median",261694.322425904,0.813224358664756,3.04538464611555
"pay_issues","980000","RDS1_document_withholding","basic",190828.829036998,1.64545085837008,8.45020036720994
"pay_issues","980000","RDS1_document_withholding","mean",190828.829036998,1.64545085837008,8.45020036720994
"pay_issues","980000","RDS1_document_withholding","median",190828.829036998,1.64545085837008,8.45020036720994
"pay_issues","1740000","SS_980k","basic",464640.939817421,0.813224358664757,3.04538464611555
"pay_issues","1740000","SS_980k","mean",464640.939817421,0.813224358664757,3.04538464611555
"pay_issues","1740000","SS_980k","median",464640.939817421,0.813224358664757,3.04538464611555
"pay_issues","1740000","SS_100k","basic",464640.939817421,0.813224358664757,3.04538464611556
"pay_issues","1740000","SS_100k","mean",464640.939817421,0.813224358664757,3.04538464611556
"pay_issues","1740000","SS_100k","median",464640.939817421,0.813224358664757,3.04538464611556
"pay_issues","1740000","SS_050k","basic",464640.939817421,0.813224358664757,3.04538464611556
"pay_issues","1740000","SS_050k","mean",464640.939817421,0.813224358664757,3.04538464611556
"pay_issues","1740000","SS_050k","median",464640.939817421,0.813224358664757,3.04538464611556
"pay_issues","1740000","vh_980k","basic",464640.939817421,0.813224358664757,3.04538464611555
"pay_issues","1740000","vh_980k","mean",464640.939817421,0.813224358664757,3.04538464611555
"pay_issues","1740000","vh_980k","median",464640.939817421,0.813224358664757,3.04538464611555
"pay_issues","1740000","vh_100k","basic",464640.939817421,0.813224358664756,3.04538464611555
"pay_issues","1740000","vh_100k","mean",464640.939817421,0.813224358664756,3.04538464611555
"pay_issues","1740000","vh_100k","median",464640.939817421,0.813224358664756,3.04538464611555
"pay_issues","1740000","RDS1_document_withholding","basic",338818.533188139,1.64545085837008,8.45020036720994
"pay_issues","1740000","RDS1_document_withholding","mean",338818.533188139,1.64545085837008,8.45020036720994
"pay_issues","1740000","RDS1_document_withholding","median",338818.533188139,1.64545085837008,8.45020036720994
"threats_abuse","50000","SS_980k","basic",15746.3961428327,0.959076660900717,3.04538464611555
"threats_abuse","50000","SS_980k","mean",15746.3961428327,0.959076660900717,3.04538464611555
"threats_abuse","50000","SS_980k","median",15746.3961428327,0.959076660900717,3.04538464611555
"threats_abuse","50000","SS_100k","basic",15746.3961428327,0.959076660900717,3.04538464611556
"threats_abuse","50000","SS_100k","mean",15746.3961428327,0.959076660900717,3.04538464611556
"threats_abuse","50000","SS_100k","median",15746.3961428327,0.959076660900717,3.04538464611556
"threats_abuse","50000","SS_050k","basic",15746.3961428327,0.959076660900717,3.04538464611556
"threats_abuse","50000","SS_050k","mean",15746.3961428327,0.959076660900717,3.04538464611556
"threats_abuse","50000","SS_050k","median",15746.3961428327,0.959076660900717,3.04538464611556
"threats_abuse","50000","vh_980k","basic",15746.3961428327,0.959076660900717,3.04538464611555
"threats_abuse","50000","vh_980k","mean",15746.3961428327,0.959076660900717,3.04538464611555
"threats_abuse","50000","vh_980k","median",15746.3961428327,0.959076660900717,3.04538464611555
"threats_abuse","50000","vh_100k","basic",15746.3961428327,0.959076660900717,3.04538464611555
"threats_abuse","50000","vh_100k","mean",15746.3961428327,0.959076660900717,3.04538464611555
"threats_abuse","50000","vh_100k","median",15746.3961428327,0.959076660900717,3.04538464611555
"threats_abuse","50000","RDS1_document_withholding","basic",11160.861026486,1.88623023888782,8.45020036720994
"threats_abuse","50000","RDS1_document_withholding","mean",11160.861026486,1.88623023888782,8.45020036720994
"threats_abuse","50000","RDS1_document_withholding","median",11160.861026486,1.88623023888782,8.45020036720994
"threats_abuse","1e+05","SS_980k","basic",31492.7922856654,0.959076660900717,3.04538464611555
"threats_abuse","1e+05","SS_980k","mean",31492.7922856654,0.959076660900717,3.04538464611555
"threats_abuse","1e+05","SS_980k","median",31492.7922856654,0.959076660900717,3.04538464611555
"threats_abuse","1e+05","SS_100k","basic",31492.7922856653,0.959076660900717,3.04538464611556
"threats_abuse","1e+05","SS_100k","mean",31492.7922856653,0.959076660900717,3.04538464611556
"threats_abuse","1e+05","SS_100k","median",31492.7922856653,0.959076660900717,3.04538464611556
"threats_abuse","1e+05","SS_050k","basic",31492.7922856653,0.959076660900717,3.04538464611556
"threats_abuse","1e+05","SS_050k","mean",31492.7922856653,0.959076660900717,3.04538464611556
"threats_abuse","1e+05","SS_050k","median",31492.7922856653,0.959076660900717,3.04538464611556
"threats_abuse","1e+05","vh_980k","basic",31492.7922856654,0.959076660900717,3.04538464611555
"threats_abuse","1e+05","vh_980k","mean",31492.7922856654,0.959076660900717,3.04538464611555
"threats_abuse","1e+05","vh_980k","median",31492.7922856654,0.959076660900717,3.04538464611555
"threats_abuse","1e+05","vh_100k","basic",31492.7922856654,0.959076660900717,3.04538464611555
"threats_abuse","1e+05","vh_100k","mean",31492.7922856654,0.959076660900717,3.04538464611555
"threats_abuse","1e+05","vh_100k","median",31492.7922856654,0.959076660900717,3.04538464611555
"threats_abuse","1e+05","RDS1_document_withholding","basic",22321.722052972,1.88623023888782,8.45020036720994
"threats_abuse","1e+05","RDS1_document_withholding","mean",22321.722052972,1.88623023888782,8.45020036720994
